S/N,Order #,Tracking #,AWB,Carrier,Company,Order Sources,Creation Date,Pending Since,Delivery Date
"1",="260112STWT6EAE","CLL3MNE115566491 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","12 Jan, 2026","3 days ago","13 Jan, 2026 11AM - 8PM"
"2",="260112T09WJV1J","CLL3MNE115568758 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","12 Jan, 2026","3 days ago","13 Jan, 2026 11AM - 8PM"
"3",="260112T2TH9QD2","CLL3MNE115569432","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","12 Jan, 2026","3 days ago","13 Jan, 2026 11AM - 8PM"
"4",="1072688342772109","MP1426012029 $","MP1426012029","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","12 Jan, 2026","3 days ago","16 Jan, 2026 11AM - 8PM"
"5",="260113V1H0CUQ6","CLL3MNE115587887","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"6",="260113V57VJKHW","CLL3MNE115589385","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"7",="260113VC6450CF","CLL3MNE115592672","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"8",="260113VG8DJKSB","CLL3MNE115595089","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"9",="260113VGC019UK","CLL3MNE115595226","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"10",="1072852182376615","MP1426347917","MP1426347917","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"11",="260113VGV4X1EK","CLL3MNE115595524","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"12",="260113VH7PXXMH","CLL3MNE115595887 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"13",="260113VHAGKH16","CLL3MNE115596025 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"14",="260113VJMTU7MR","CLL3MNE115596318","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"15",="260113VKDXQH85","CLL3MNE115596970 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"16",="260113VMQSREXS","CLL3MNE115597580 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"17",="260113VNWRNTQT","CLL3MNE115597911","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"18",="260113VR9F13NK","CLL3MNE115598950","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"19",="260113VSJ7NA8F","CLL3MNE115599508","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"20",="1072883591070552","MP1426376646","MP1426376646","LEX PH","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"21",="260113VSVJJ0E5","CLL3MNE115599726","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"22",="260113VSJ4TKM1","CLL3MNE115599743 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"23",="260113VT2P4CY3","CLL3MNE115599942 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"24",="260113VU9PF800","CLL3MNE115600334","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"25",="1072895153448737","MP1426379241 $","MP1426379241","LEX PH","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"26",="260113VUUNG6N5","CLL3MNE115600571","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"27",="260113VVPRE6S4","CLL3MNE115600918","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"28",="260111PJ5BB0WB","CLL3MNE115601209","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","15 Jan, 2026 11AM - 8PM"
"29",="260111P5ENGT71","CLL3MNE115601379","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","15 Jan, 2026 11AM - 8PM"
"30",="260113VXVWAMQJ","CLL3MNE115601914","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"31",="582098846086300696","CLL3MNE115602236","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"32",="260113W23PKTX4","CLL3MNE115603404","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"33",="260113W38XP19F","CLL3MNE115604235 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"34",="582099922087085632","CLL3MNE115604492","","Flash Express Philippines","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"35",="582099878516589570","CLL3MNE115604610 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"36",="582100655238448692","CLL3MNE115605794 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"37",="260113044YGRVG","CLL3MNE115606034 $","","XDE Logistics","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","15 Jan, 2026 11AM - 8PM"
"38",="26011305HFBJ44","CLL3MNE115606543","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"39",="26011305GNMUY0","CLL3MNE115606549","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"40",="26011307GGCFJT","CLL3MNE115607347","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"41",="582101785333302923","CLL3MNE115607503","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","13 Jan, 2026","2 days ago","16 Jan, 2026 11AM - 8PM"
"42",="2601130ACWQV15","CLL3MNE115608603","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","2 days ago","14 Jan, 2026 11AM - 8PM"
"43",="260112T28H9U8F","CLL3MNE115610050","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","13 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"44",="2601130HP37K6K","CLL3MNE115611106","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"45",="1064630472522816","MP1426560414","MP1426560414","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"46",="2601140K67E5TP","CLL3MNE115611657 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"47",="26011306UH11VA","CLL3MNE115611972 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"48",="582105134956316535","CLL3MNE115612096 $","","Flash Express Philippines","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"49",="2601140T62FS3T","CLL3MNE115613146 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"50",="2601140YJK9AKY","CLL3MNE115613799 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"51",="26011412HDVAXU","CLL3MNE115614136 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"52",="2601141AA84KD7","CLL3MNE115615769","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"53",="2601141AYK07NT","CLL3MNE115615891","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"54",="2601141BJS5UK0","CLL3MNE115616243 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"55",="2601141BSEQT3G","CLL3MNE115616316 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","14 Jan, 2026 11AM - 8PM"
"56",="2601141DG8JKNT","CLL3MNE115616785","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","15 Jan, 2026 11AM - 8PM"
"57",="582107175136101727","CLL3MNE115616905","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"58",="582107239676478592","CLL3MNE115617192","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"59",="582107563286234280","CLL3MNE115617918 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"60",="1073044531661268","MP1426692362","MP1426692362","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"61",="2601141G39G3FE","CLL3MNE115618226 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","15 Jan, 2026 11AM - 8PM"
"62",="2601141H1MBK6Y","CLL3MNE115618321","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","15 Jan, 2026 11AM - 8PM"
"63",="2601141H9UHEAA","CLL3MNE115618477","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","15 Jan, 2026 11AM - 8PM"
"64",="582107775674188851","CLL3MNE115618668 $","","Flash Express Philippines","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"65",="582108113080452660","CLL3MNE115619389 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"66",="582108356629399049","CLL3MNE115620016","","Flash Express Philippines","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"67",="582108721228711215","CLL3MNE115620933","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","1 day ago","16 Jan, 2026 11AM - 8PM"
"68",="2601141NR889XF","CLL3MNE115621142 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","1 day ago","15 Jan, 2026 11AM - 8PM"
"69",="2601141PPRT58K","CLL3MNE115621403","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","24 hrs ago","15 Jan, 2026 11AM - 8PM"
"70",="2601141Q69P6X9","CLL3MNE115622109 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","24 hrs ago","15 Jan, 2026 11AM - 8PM"
"71",="2601141RDRA2W7","CLL3MNE115622573","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","23 hrs ago","15 Jan, 2026 11AM - 8PM"
"72",="2601141RGHYS7J","CLL3MNE115622574","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","23 hrs ago","15 Jan, 2026 11AM - 8PM"
"73",="582109489233167761","CLL3MNE115622884","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","23 hrs ago","16 Jan, 2026 11AM - 8PM"
"74",="582109533619914094","CLL3MNE115623031","","Flash Express Philippines","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","23 hrs ago","16 Jan, 2026 11AM - 8PM"
"75",="582109549227509693","CLL3MNE115623061 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","23 hrs ago","16 Jan, 2026 11AM - 8PM"
"76",="2601141T12H2A9","CLL3MNE115623894 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","23 hrs ago","15 Jan, 2026 11AM - 8PM"
"77",="582110010610059141","CLL3MNE115624481","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","23 hrs ago","16 Jan, 2026 11AM - 8PM"
"78",="2601141URBJG6A","CLL3MNE115624720","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","22 hrs ago","15 Jan, 2026 11AM - 8PM"
"79",="1064746657884145","P1903GJJ2H7AP","P1903GJJ2H7AP","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","22 hrs ago","16 Jan, 2026 11AM - 8PM"
"80",="pendingLCS-13918-FAUDHXBMY","CLL3BAN115625938","","PRIMER","Lego","Www.Bankeebricks.Ph","14 Jan, 2026","22 hrs ago","15 Jan, 2026 11AM - 8PM"
"81",="2601141Y9W2TN4","CLL3MNE115627234 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","21 hrs ago","15 Jan, 2026 11AM - 8PM"
"82",="582111369346516696","CLL3MNE115627560","","Flash Express Philippines","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","21 hrs ago","16 Jan, 2026 11AM - 8PM"
"83",="26011420S7JNQ7","CLL3MNE115627751","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","21 hrs ago","15 Jan, 2026 11AM - 8PM"
"84",="26011420HXU9V4","CLL3MNE115627817 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","21 hrs ago","15 Jan, 2026 11AM - 8PM"
"85",="2601142178P1U7","CLL3MNE115627904","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","21 hrs ago","15 Jan, 2026 11AM - 8PM"
"86",="2601141CFJBWU6","CLL3MNE115628137 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","21 hrs ago","15 Jan, 2026 11AM - 8PM"
"87",="582112030969792269","CLL3MNE115628857 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","20 hrs ago","16 Jan, 2026 11AM - 8PM"
"88",="582112089993283431","CLL3MNE115629097","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","20 hrs ago","16 Jan, 2026 11AM - 8PM"
"89",="260114241DKRT9","CLL3MNE115629451","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","20 hrs ago","15 Jan, 2026 11AM - 8PM"
"90",="2601142426DE99","CLL3MNE115629455","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","20 hrs ago","15 Jan, 2026 11AM - 8PM"
"91",="26011424R56BE3","CLL3MNE115629780","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","20 hrs ago","15 Jan, 2026 11AM - 8PM"
"92",="582112831546230682","CLL3UCH115630474 $","","J&T Express","Cloud Mart","Tiktok Philippines (Cloud Mart Tiktok)","14 Jan, 2026","19 hrs ago","16 Jan, 2026 11AM - 8PM"
"93",="2601142775EXBH","CLL3MNE115631036","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","19 hrs ago","15 Jan, 2026 11AM - 8PM"
"94",="1073145155876008","MP1426790678 $","MP1426790678","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","19 hrs ago","16 Jan, 2026 11AM - 8PM"
"95",="pendingMCO-151-UNUZLYEPM","CLL3LGM115631776","","PRIMER","LAGUNA MAIN COMPANY","Www.Mccormick.Com.Ph","14 Jan, 2026","19 hrs ago","16 Jan, 2026 11AM - 8PM"
"96",="26011429CCRYEB","CLL3MNE115632180","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","18 hrs ago","15 Jan, 2026 11AM - 8PM"
"97",="2601142B4DQJT3","CLL3MNE115632927","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","18 hrs ago","15 Jan, 2026 11AM - 8PM"
"98",="2601142CKQ74KM","CLL3MNE115634539 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","17 hrs ago","15 Jan, 2026 11AM - 8PM"
"99",="2601142E8RRXKV","CLL3MNE115634660","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","17 hrs ago","15 Jan, 2026 11AM - 8PM"
"100",="2601142H3X0DBS","CLL3MNE115635613","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","16 hrs ago","15 Jan, 2026 11AM - 8PM"
"101",="582115501616956791","CLL3MNE115635646 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","16 hrs ago","16 Jan, 2026 11AM - 8PM"
"102",="582115619352512300","CLL3MNE115635836 $","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","16 hrs ago","16 Jan, 2026 11AM - 8PM"
"103",="2601142H14CXF0","CLL3MNE115635843","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","16 hrs ago","15 Jan, 2026 11AM - 8PM"
"104",="2601142HHVBC0R","CLL3MNE115635854","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","16 hrs ago","15 Jan, 2026 11AM - 8PM"
"105",="2601142TP092DG","CLL3MNE115640445 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","13 hrs ago","15 Jan, 2026 11AM - 8PM"
"106",="2601142U7Y9VMC","CLL3MNE115640450","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","13 hrs ago","15 Jan, 2026 11AM - 8PM"
"107",="2601142TVXEP6D","CLL3MNE115640719 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","13 hrs ago","16 Jan, 2026 11AM - 8PM"
"108",="2601142UTAS4VH","CLL3MNE115640765","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","13 hrs ago","15 Jan, 2026 11AM - 8PM"
"109",="2601142UWKQFNV","CLL3MNE115641085 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","13 hrs ago","15 Jan, 2026 11AM - 8PM"
"110",="2601142W387V2F","CLL3MNE115641379","","XDE Logistics","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","13 hrs ago","16 Jan, 2026 11AM - 8PM"
"111",="582119016440497713","CLL3MNE115641569","","J&T Express","Monde Nissin","Tiktok Philippines (Monde Nissin Tiktok)","14 Jan, 2026","12 hrs ago","16 Jan, 2026 11AM - 8PM"
"112",="2601142WEA0BF5","CLL3MNE115641594","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","12 hrs ago","15 Jan, 2026 11AM - 8PM"
"113",="1064907204540365","CLL3MNE115641783 $","","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","12 hrs ago","16 Jan, 2026 11AM - 8PM"
"114",="1064905418220790","CLL3MNE115641784 $","","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","12 hrs ago","16 Jan, 2026 11AM - 8PM"
"115",="1073263709584584","CLL3MNE115642198 $","","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","12 hrs ago","16 Jan, 2026 11AM - 8PM"
"116",="26011430J2WYGK","CLL3MNE115642763","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"117",="2601142X7MM1PR","CLL3MNE115642837","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"118",="26011430EASBFY","CLL3MNE115642855 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"119",="26011430XMC2M9","CLL3MNE115642982 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"120",="1064901092431143","CLL3MNE115643084","","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","14 Jan, 2026","11 hrs ago","16 Jan, 2026 11AM - 8PM"
"121",="26011431H5JBVY","CLL3MNE115643190 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","14 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"122",="26011431X3GM92","CLL3MNE115643291","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"123",="26011431HXCH6J","CLL3MNE115643297 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"124",="26011532BMFP1E","CLL3MNE115643344","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"125",="1073271518526382","CLL3MNE115643364 $","","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","15 Jan, 2026","11 hrs ago","16 Jan, 2026 11AM - 8PM"
"126",="1073263180304249","CLL3MNE115643374 $","","LEX","Monde Nissin","Lazada Philippines (Monde Nissin Lazada)","15 Jan, 2026","11 hrs ago","16 Jan, 2026 11AM - 8PM"
"127",="26011532BAXCWN","CLL3MNE115643428","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"128",="26011532F41FEQ","CLL3MNE115643457","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"129",="26011532HGC02K","CLL3MNE115643491","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"130",="26011532BU3K50","CLL3MNE115643518","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"131",="26011532BFMJD7","CLL3MNE115643902 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"132",="26011532H7Q2U3","CLL3MNE115643901 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"133",="26011532W920PS","CLL3MNE115643900","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"134",="26011532EKTVAK","CLL3MNE115643905 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"135",="26011532BGP1RF","CLL3MNE115643906 $","","J&T Cargo","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"136",="2601143283VE9H","CLL3MNE115643920 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"137",="26011532CVEY4A","CLL3MNE115643923 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"138",="26011532DARVPD","CLL3MNE115643927 $","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
"139",="26011532VJ4076","CLL3MNE115643946","","SPX Express","Monde Nissin","Shopee Philippines (Monde Nissin Shopee)","15 Jan, 2026","11 hrs ago","15 Jan, 2026 11AM - 8PM"
